model,k,stratum,value,decision_groups,configurations,hit,feasible,regret,brier
mlp_43,8,pool_type,mixed,16,12,1.0,1.0,0.0,0.04603314616866152
mlp_43,8,informative,True,16,12,1.0,1.0,0.0,0.04603314616866152
no_vision_17,1,all,all,16,12,0.75,0.75,0.25,0.1603864590606629
no_vision_17,1,family,rigid_connector_module,10,6,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.13042861883862536
no_vision_17,1,family,sliding_stage_pin,6,6,0.8333333333333334,0.8333333333333334,0.16666666666666666,0.19034429928270044
no_vision_17,1,length,19,6,6,0.8333333333333334,0.8333333333333334,0.16666666666666666,0.19034429928270044
no_vision_17,1,length,22,2,2,0.0,0.0,1.0,0.32075291910208714
no_vision_17,1,length,58,2,2,1.0,1.0,0.0,0.17600168911208058
no_vision_17,1,length,76,6,6,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.13280633269233852
no_vision_17,1,pool_type,mixed,16,12,0.75,0.75,0.25,0.1603864590606629
no_vision_17,1,informative,True,16,12,0.75,0.75,0.25,0.1603864590606629
no_vision_17,2,all,all,16,12,0.861111111111111,0.861111111111111,0.13888888888888887,0.1603864590606629
no_vision_17,2,family,rigid_connector_module,10,6,0.8888888888888888,0.8888888888888888,0.1111111111111111,0.13042861883862536
no_vision_17,2,family,sliding_stage_pin,6,6,0.8333333333333334,0.8333333333333334,0.16666666666666666,0.19034429928270044
no_vision_17,2,length,19,6,6,0.8333333333333334,0.8333333333333334,0.16666666666666666,0.19034429928270044
no_vision_17,2,length,22,2,2,0.5,0.5,0.5,0.32075291910208714
no_vision_17,2,length,58,2,2,1.0,1.0,0.0,0.17600168911208058
no_vision_17,2,length,76,6,6,0.8333333333333334,0.8333333333333334,0.16666666666666666,0.13280633269233852
no_vision_17,2,pool_type,mixed,16,12,0.861111111111111,0.861111111111111,0.13888888888888887,0.1603864590606629
no_vision_17,2,informative,True,16,12,0.861111111111111,0.861111111111111,0.13888888888888887,0.1603864590606629
no_vision_17,4,all,all,16,12,0.8888888888888888,0.8888888888888888,0.1111111111111111,0.1603864590606629
no_vision_17,4,family,rigid_connector_module,10,6,0.9444444444444443,0.9444444444444443,0.05555555555555555,0.13042861883862536
no_vision_17,4,family,sliding_stage_pin,6,6,0.8333333333333334,0.8333333333333334,0.16666666666666666,0.19034429928270044
no_vision_17,4,length,19,6,6,0.8333333333333334,0.8333333333333334,0.16666666666666666,0.19034429928270044
no_vision_17,4,length,22,2,2,1.0,1.0,0.0,0.32075291910208714
no_vision_17,4,length,58,2,2,1.0,1.0,0.0,0.17600168911208058
no_vision_17,4,length,76,6,6,0.8333333333333334,0.8333333333333334,0.16666666666666666,0.13280633269233852
no_vision_17,4,pool_type,mixed,16,12,0.8888888888888888,0.8888888888888888,0.1111111111111111,0.1603864590606629
no_vision_17,4,informative,True,16,12,0.8888888888888888,0.8888888888888888,0.1111111111111111,0.1603864590606629
no_vision_17,8,all,all,16,12,1.0,1.0,0.0,0.1603864590606629
no_vision_17,8,family,rigid_connector_module,10,6,1.0,1.0,0.0,0.13042861883862536
no_vision_17,8,family,sliding_stage_pin,6,6,1.0,1.0,0.0,0.19034429928270044
no_vision_17,8,length,19,6,6,1.0,1.0,0.0,0.19034429928270044
no_vision_17,8,length,22,2,2,1.0,1.0,0.0,0.32075291910208714
no_vision_17,8,length,58,2,2,1.0,1.0,0.0,0.17600168911208058
no_vision_17,8,length,76,6,6,1.0,1.0,0.0,0.13280633269233852
no_vision_17,8,pool_type,mixed,16,12,1.0,1.0,0.0,0.1603864590606629
no_vision_17,8,informative,True,16,12,1.0,1.0,0.0,0.1603864590606629
vision_17,1,all,all,16,12,0.8333333333333334,0.8333333333333334,0.16666666666666666,0.15100066016688918
vision_17,1,family,rigid_connector_module,10,6,0.8333333333333334,0.8333333333333334,0.16666666666666666,0.11886359386200361
vision_17,1,family,sliding_stage_pin,6,6,0.8333333333333334,0.8333333333333334,0.16666666666666666,0.18313772647177476
vision_17,1,length,19,6,6,0.8333333333333334,0.8333333333333334,0.16666666666666666,0.18313772647177476
vision_17,1,length,22,2,2,1.0,1.0,0.0,0.3169736507869535
vision_17,1,length,58,2,2,1.0,1.0,0.0,0.14481203509451504
vision_17,1,length,76,6,6,0.8333333333333334,0.8333333333333334,0.16666666666666666,0.11983261774599789
vision_17,1,pool_type,mixed,16,12,0.8333333333333334,0.8333333333333334,0.16666666666666666,0.15100066016688918
vision_17,1,informative,True,16,12,0.8333333333333334,0.8333333333333334,0.16666666666666666,0.15100066016688918
vision_17,2,all,all,16,12,0.9166666666666666,0.9166666666666666,0.08333333333333333,0.15100066016688918
vision_17,2,family,rigid_connector_module,10,6,1.0,1.0,0.0,0.11886359386200361
vision_17,2,family,sliding_stage_pin,6,6,0.8333333333333334,0.8333333333333334,0.16666666666666666,0.18313772647177476
vision_17,2,length,19,6,6,0.8333333333333334,0.8333333333333334,0.16666666666666666,0.18313772647177476
vision_17,2,length,22,2,2,1.0,1.0,0.0,0.3169736507869535
vision_17,2,length,58,2,2,1.0,1.0,0.0,0.14481203509451504
vision_17,2,length,76,6,6,1.0,1.0,0.0,0.11983261774599789
vision_17,2,pool_type,mixed,16,12,0.9166666666666666,0.9166666666666666,0.08333333333333333,0.15100066016688918
vision_17,2,informative,True,16,12,0.9166666666666666,0.9166666666666666,0.08333333333333333,0.15100066016688918
vision_17,4,all,all,16,12,0.9166666666666666,0.9166666666666666,0.08333333333333333,0.15100066016688918
vision_17,4,family,rigid_connector_module,10,6,1.0,1.0,0.0,0.11886359386200361
vision_17,4,family,sliding_stage_pin,6,6,0.8333333333333334,0.8333333333333334,0.16666666666666666,0.18313772647177476
vision_17,4,length,19,6,6,0.8333333333333334,0.8333333333333334,0.16666666666666666,0.18313772647177476
vision_17,4,length,22,2,2,1.0,1.0,0.0,0.3169736507869535
vision_17,4,length,58,2,2,1.0,1.0,0.0,0.14481203509451504
vision_17,4,length,76,6,6,1.0,1.0,0.0,0.11983261774599789
vision_17,4,pool_type,mixed,16,12,0.9166666666666666,0.9166666666666666,0.08333333333333333,0.15100066016688918
vision_17,4,informative,True,16,12,0.9166666666666666,0.9166666666666666,0.08333333333333333,0.15100066016688918
vision_17,8,all,all,16,12,1.0,1.0,0.0,0.15100066016688918
vision_17,8,family,rigid_connector_module,10,6,1.0,1.0,0.0,0.11886359386200361
vision_17,8,family,sliding_stage_pin,6,6,1.0,1.0,0.0,0.18313772647177476
vision_17,8,length,19,6,6,1.0,1.0,0.0,0.18313772647177476
vision_17,8,length,22,2,2,1.0,1.0,0.0,0.3169736507869535
vision_17,8,length,58,2,2,1.0,1.0,0.0,0.14481203509451504
vision_17,8,length,76,6,6,1.0,1.0,0.0,0.11983261774599789
vision_17,8,pool_type,mixed,16,12,1.0,1.0,0.0,0.15100066016688918
vision_17,8,informative,True,16,12,1.0,1.0,0.0,0.15100066016688918
residual_29,1,all,all,16,12,1.0,1.0,0.0,0.052164853624870174
residual_29,1,family,rigid_connector_module,10,6,1.0,1.0,0.0,0.07118310142282604
residual_29,1,family,sliding_stage_pin,6,6,1.0,1.0,0.0,0.03314660582691431
residual_29,1,length,19,6,6,1.0,1.0,0.0,0.03314660582691431
residual_29,1,length,22,2,2,1.0,1.0,0.0,0.09419528389116749
residual_29,1,length,58,2,2,1.0,1.0,0.0,0.18369324505329132
residual_29,1,length,76,6,6,1.0,1.0,0.0,0.06487081184362371
residual_29,1,pool_type,mixed,16,12,1.0,1.0,0.0,0.052164853624870174
residual_29,1,informative,True,16,12,1.0,1.0,0.0,0.052164853624870174
residual_29,2,all,all,16,12,1.0,1.0,0.0,0.052164853624870174
residual_29,2,family,rigid_connector_module,10,6,1.0,1.0,0.0,0.07118310142282604
residual_29,2,family,sliding_stage_pin,6,6,1.0,1.0,0.0,0.03314660582691431
residual_29,2,length,19,6,6,1.0,1.0,0.0,0.03314660582691431
residual_29,2,length,22,2,2,1.0,1.0,0.0,0.09419528389116749
residual_29,2,length,58,2,2,1.0,1.0,0.0,0.18369324505329132
residual_29,2,length,76,6,6,1.0,1.0,0.0,0.06487081184362371
residual_29,2,pool_type,mixed,16,12,1.0,1.0,0.0,0.052164853624870174
residual_29,2,informative,True,16,12,1.0,1.0,0.0,0.052164853624870174
residual_29,4,all,all,16,12,1.0,1.0,0.0,0.052164853624870174
residual_29,4,family,rigid_connector_module,10,6,1.0,1.0,0.0,0.07118310142282604
residual_29,4,family,sliding_stage_pin,6,6,1.0,1.0,0.0,0.03314660582691431
