method,stratum,metric,mean,ci95_low,ci95_high,groups,configurations,eligible_groups,eligible_configurations,all_failure_groups
compact_17_raw,checkpoint_3,excess_feasible4,0.0071428571428571175,0.0,0.014285714285714235,2,2,2,2,0
compact_17_raw,checkpoint_3,excess_quality4,0.40625,0.3125,0.5,2,2,2,2,0
compact_17_raw,checkpoint_3,boundary_near_tie4,0.0,0.0,0.0,2,2,2,2,0
compact_17_raw,checkpoint_3,score_spread,0.6565556033725184,0.5985219427138618,0.714589264031175,2,2,2,2,0
compact_17_raw,checkpoint_3,numerically_flat,0.0,0.0,0.0,2,2,2,2,0
compact_17_raw,checkpoint_3,adjacent_near_tie_fraction,0.0,0.0,0.0,2,2,2,2,0
compact_17_raw,checkpoint_3,intermediate_label_fraction,0.0625,0.0,0.125,2,2,2,2,0
compact_17_raw,checkpoint_3,empirical_pool_quality,0.53125,0.5,0.5625,2,2,2,2,0
compact_17_raw,checkpoint_3,brier,0.09665231620892749,0.07031981692342054,0.12298481549443444,2,2,2,2,0
compact_17_raw,checkpoint_3,bernoulli_brier,0.11227731620892747,0.10156981692342053,0.12298481549443444,2,2,2,2,0
compact_17_raw,checkpoint_3,log_loss,0.34336954939660813,0.31974601378548984,0.3669930850077264,2,2,2,2,0
compact_29,overall,hit1,0.4,0.0,0.8,6,6,5,5,1
compact_29,overall,feasible1,0.6666666666666666,0.3333333333333333,1.0,6,6,6,6,1
compact_29,overall,quality1,0.5,0.16666666666666666,0.8333333333333334,6,6,6,6,1
compact_29,overall,regret1,0.3333333333333333,0.08333333333333333,0.6666666666666666,6,6,6,6,1
compact_29,overall,random_hit1,0.325,0.2,0.45,6,6,5,5,1
compact_29,overall,random_feasible1,0.3541666666666667,0.1875,0.5,6,6,6,6,1
compact_29,overall,random_quality1,0.3125,0.16666666666666666,0.4479166666666667,6,6,6,6,1
compact_29,overall,excess_hit1,0.075,-0.225,0.375,6,6,5,5,1
compact_29,overall,excess_feasible1,0.3125,0.041666666666666664,0.5625,6,6,6,6,1
compact_29,overall,excess_quality1,0.1875,-0.010416666666666666,0.375,6,6,6,6,1
compact_29,overall,boundary_near_tie1,0.0,0.0,0.0,6,6,6,6,1
compact_29,overall,hit2,1.0,1.0,1.0,6,6,5,5,1
compact_29,overall,feasible2,0.8333333333333334,0.5,1.0,6,6,6,6,1
compact_29,overall,quality2,0.6666666666666666,0.375,0.9166666666666666,6,6,6,6,1
compact_29,overall,regret2,0.0,0.0,0.0,6,6,6,6,1
compact_29,overall,random_hit2,0.55,0.37857142857142856,0.7214285714285714,6,6,5,5,1
compact_29,overall,random_feasible2,0.5714285714285714,0.31547619047619047,0.7738095238095237,6,6,6,6,1
compact_29,overall,random_quality2,0.3125,0.16666666666666666,0.4479166666666667,6,6,6,6,1
compact_29,overall,excess_hit2,0.45,0.2785714285714286,0.6214285714285713,6,6,5,5,1
compact_29,overall,excess_feasible2,0.2619047619047619,0.1130952380952381,0.3988095238095238,6,6,6,6,1
compact_29,overall,excess_quality2,0.3541666666666667,0.19791666666666666,0.4791666666666667,6,6,6,6,1
compact_29,overall,boundary_near_tie2,0.0,0.0,0.0,6,6,6,6,1
compact_29,overall,hit4,1.0,1.0,1.0,6,6,5,5,1
compact_29,overall,feasible4,0.8333333333333334,0.5,1.0,6,6,6,6,1
compact_29,overall,quality4,0.5625,0.2916666666666667,0.8125,6,6,6,6,1
compact_29,overall,regret4,0.0,0.0,0.0,6,6,6,6,1
compact_29,overall,random_hit4,0.8085714285714285,0.6542857142857142,0.9457142857142857,6,6,5,5,1
compact_29,overall,random_feasible4,0.7714285714285715,0.45,0.9690476190476192,6,6,6,6,1
compact_29,overall,random_quality4,0.3125,0.16666666666666666,0.4479166666666667,6,6,6,6,1
compact_29,overall,excess_hit4,0.19142857142857142,0.05428571428571425,0.34571428571428575,6,6,5,5,1
compact_29,overall,excess_feasible4,0.061904761904761886,0.011904761904761899,0.1238095238095238,6,6,6,6,1
compact_29,overall,excess_quality4,0.25,0.125,0.3645833333333333,6,6,6,6,1
compact_29,overall,boundary_near_tie4,0.0,0.0,0.0,6,6,6,6,1
compact_29,overall,score_spread,0.443663095069678,0.2662643944711186,0.6284489119447058,6,6,6,6,1
compact_29,overall,numerically_flat,0.0,0.0,0.0,6,6,6,6,1
compact_29,overall,adjacent_near_tie_fraction,0.0,0.0,0.0,6,6,6,6,1
compact_29,overall,intermediate_label_fraction,0.08333333333333333,0.020833333333333332,0.16666666666666666,6,6,6,6,1
compact_29,overall,empirical_pool_quality,0.3125,0.16666666666666666,0.4479166666666667,6,6,6,6,1
compact_29,overall,brier,0.12164084410590359,0.07335342086184338,0.17331228147398245,6,6,6,6,1
compact_29,overall,bernoulli_brier,0.14247417743923693,0.08866200511221968,0.1986430033608836,6,6,6,6,1
compact_29,overall,log_loss,0.43366732219579346,0.2842362453829751,0.5975954884682312,6,6,6,6,1
compact_29,checkpoint_2,hit1,0.0,0.0,0.0,4,4,3,3,1
compact_29,checkpoint_2,feasible1,0.5,0.0,1.0,4,4,4,4,1
compact_29,checkpoint_2,quality1,0.25,0.0,0.5,4,4,4,4,1
compact_29,checkpoint_2,regret1,0.5,0.125,0.875,4,4,4,4,1
compact_29,checkpoint_2,random_hit1,0.20833333333333334,0.125,0.25,4,4,3,3,1
compact_29,checkpoint_2,random_feasible1,0.25,0.09375,0.375,4,4,4,4,1
compact_29,checkpoint_2,random_quality1,0.203125,0.0625,0.296875,4,4,4,4,1
compact_29,checkpoint_2,excess_hit1,-0.20833333333333334,-0.25,-0.125,4,4,3,3,1
